iter	Passed	Remaining
0	0	86
1	1	81
2	2	81
3	3	78
4	4	78
5	5	79
6	5	78
7	6	77
8	7	77
9	8	76
10	9	74
11	10	73
12	11	73
13	11	73
14	12	72
15	13	71
16	14	71
17	15	70
18	16	69
19	17	68
20	18	68
21	18	67
22	19	66
23	20	66
24	21	65
25	22	64
26	23	63
27	24	61
28	24	61
29	25	60
30	26	59
31	27	58
32	28	57
33	29	57
34	30	56
35	31	55
36	31	54
37	32	53
38	33	52
39	34	51
40	35	50
41	35	49
42	36	48
43	37	47
44	37	46
45	38	45
46	39	44
47	40	43
48	41	43
49	42	42
50	43	41
51	44	40
52	44	39
53	45	38
54	46	37
55	47	37
56	48	36
57	49	35
58	50	34
59	50	33
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	56	29
66	57	28
67	58	27
68	59	26
69	60	25
70	61	24
71	61	24
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	67	19
78	68	18
79	69	17
80	70	16
81	70	15
82	71	14
83	72	13
84	73	13
85	74	12
86	75	11
87	76	10
88	77	9
89	79	8
90	80	7
91	81	7
92	82	6
93	83	5
94	83	4
95	84	3
96	85	2
97	86	1
98	87	0
99	88	0
